bin_time,company,week_day,sunny,windy,rainy,cloudy,temp,dew_point,uv_index,precip_intensity,wind_speed,cloud_cover,apparent_temperature,bin_cnt,time_of_day
0.0,citi,4,1.0,0.0,0.0,0.0,0.7981530343007915,0.8756393001345896,0.0,0.0,0.17469050894085283,0.37,0.7405646058889002,26,0.0
1.0,citi,4,1.0,0.0,0.0,0.0,0.7871591908531222,0.8752355316285331,0.0,0.0,0.10591471801925723,0.18,0.7306485884852777,10,1.0
2.0,citi,4,1.0,0.0,0.0,0.0,0.7801231310466139,0.8760430686406461,0.0,0.0,0.17744154057771666,0.34,0.7244763735707781,8,2.0
3.0,citi,4,0.0,0.0,0.0,1.0,0.7746262093227793,0.8792732166890983,0.0,0.0,0.19669876203576342,0.42,0.7199231002731965,2,3.0
4.0,citi,4,0.0,0.0,0.0,1.0,0.7719876868953387,0.8834454912516824,0.0,0.0,0.20220082530949107,0.51,0.7180006071031063,3,4.0
5.0,citi,4,1.0,0.0,0.0,0.0,0.7695690413368514,0.8830417227456259,0.0,0.0,0.171939477303989,0.38,0.7157745623798442,11,5.0
6.0,citi,4,0.0,0.0,0.0,1.0,0.7679199648197009,0.8807537012113055,0.0,0.0,0.17056396148555708,0.51,0.7141556207629263,38,6.0
7.0,citi,4,0.0,0.0,0.0,1.0,0.7706684256816183,0.8822341857335128,0.0,0.0,0.12104539202200826,0.49,0.7166852170393605,123,7.0
8.0,citi,4,0.0,0.0,0.0,1.0,0.7950747581354441,0.8963660834454912,0.1111111111111111,0.0,0.08665749656121045,0.53,0.7398563189314986,241,8.0
9.0,citi,4,0.0,0.0,0.0,1.0,0.8214599824098505,0.9117092866756392,0.2222222222222222,0.0,0.14993122420907842,0.53,0.7649499139937266,179,9.0
10.0,citi,4,0.0,0.0,0.0,1.0,0.8437774846086192,0.9236877523553163,0.4444444444444444,0.0,0.059147180192572216,0.45,0.7861985227157746,111,10.0
11.0,citi,4,1.0,0.0,0.0,0.0,0.8784080914687776,0.928263795423957,0.6666666666666666,0.0,0.04264099037138927,0.32,0.8370939997976323,111,11.0
12.0,citi,4,0.0,0.0,0.0,1.0,0.9046833773087073,0.9254374158815614,0.7777777777777778,0.0,0.18844566712517197,0.52,0.8662349489021552,106,12.0
13.0,citi,4,0.0,0.0,0.0,1.0,0.9080914687774846,0.9133243606998654,0.6666666666666666,0.0,0.3177441540577717,0.71,0.8657290296468684,103,13.0
14.0,citi,4,0.0,0.0,0.0,1.0,0.8817062445030783,0.9145356662180351,0.6666666666666666,0.0,0.48418156808803303,0.67,0.8380046544571486,101,14.0
15.0,citi,4,0.0,0.0,0.0,1.0,0.8397097625329816,0.9145356662180351,0.5555555555555556,0.004331348132106118,0.6382393397524071,0.83,0.7817464332692503,106,15.0
16.0,citi,4,0.0,0.0,0.0,1.0,0.8214599824098505,0.9191117092866757,0.3333333333333333,0.036816459122902004,0.48005502063273736,0.94,0.7656582009511282,140,16.0
17.0,citi,4,0.0,0.0,0.0,1.0,0.8190413368513633,0.91628532974428,0.2222222222222222,0.06930157011369789,0.2393397524071527,0.97,0.7633309723768087,144,17.0
18.0,citi,4,0.0,0.0,0.0,1.0,0.8204705364995603,0.9195154777927321,0.1111111111111111,0.010828370330265295,0.17881705639614856,0.87,0.7648487301426693,191,18.0
19.0,citi,4,0.0,0.0,0.0,1.0,0.8149736147757256,0.9139973082099596,0.0,0.0,0.2737276478679505,0.53,0.7593848021855711,145,19.0
20.0,citi,5,0.0,0.0,0.0,1.0,0.8078276165347407,0.9080753701211306,0.0,0.0,0.19944979367262725,0.6,0.7524031164626126,106,20.0
21.0,citi,5,0.0,0.0,0.0,1.0,0.7992524186455586,0.9018842530282639,0.0,0.0,0.05639614855570839,0.49,0.7442072245269655,93,21.0
22.0,citi,5,0.0,0.0,0.0,1.0,0.7924362357080036,0.8977119784656797,0.0,0.0,0.04264099037138927,0.89,0.7376302742082365,65,22.0
23.0,citi,5,0.0,0.0,0.0,1.0,0.790127528583993,0.9018842530282639,0.0,0.0,0.11004126547455297,0.92,0.7360113325913183,51,23.0
24.0,citi,5,0.0,0.0,0.0,1.0,0.787269129287599,0.9004037685060566,0.0,0.0,0.06189821182943604,0.81,0.7333805524638268,49,0.0
25.0,citi,5,0.0,0.0,0.0,1.0,0.7834212840809148,0.9025572005383581,0.0,0.0,0.07840440165061897,0.69,0.7301426692299908,23,1.0
26.0,citi,5,0.0,0.0,0.0,1.0,0.7782541776605102,0.8994616419919247,0.0,0.0,0.024759284731774415,0.43,0.7251846605281798,15,2.0
27.0,citi,5,0.0,0.0,0.0,1.0,0.7742963940193492,0.894078061911171,0.0,0.0,0.039889958734525444,0.83,0.7211373064858848,5,3.0
28.0,citi,5,0.0,0.0,0.0,1.0,0.7668205804749341,0.8936742934051145,0.0,0.012994044396318353,0.03576341127922972,0.75,0.7145603561671557,1,4.0
29.0,citi,5,0.0,0.0,0.0,1.0,0.7549472295514512,0.88371467025572,0.0,0.13318895506226314,0.04126547455295736,0.92,0.702924213295558,5,5.0
30.0,citi,5,0.0,0.0,0.0,1.0,0.7363676341248901,0.8589502018842531,0.0,0.34650785056848943,0.05502063273727648,0.96,0.6839016492967723,1,6.0
31.0,citi,5,0.0,0.0,0.0,1.0,0.7205364995602463,0.8407806191117093,0.0,0.4694098538170005,0.14855570839064652,1.0,0.668015784680765,8,7.0
32.0,citi,5,0.0,0.0,0.0,1.0,0.7145998240985049,0.8399730820995962,0.1111111111111111,0.3919870059556037,0.28473177441540576,0.96,0.6627542244257817,7,8.0
33.0,citi,5,0.0,0.0,0.0,1.0,0.7206464379947229,0.8458950201884253,0.2222222222222222,0.2533838657282079,0.40440165061898214,0.95,0.6686228877871092,43,9.0
34.0,citi,5,0.0,0.0,0.0,1.0,0.7302110817941954,0.8503364737550472,0.3333333333333333,0.0476448294531673,0.4979367262723522,1.0,0.6775270666801578,100,10.0
35.0,citi,5,0.0,0.0,0.0,1.0,0.7478012313104662,0.8507402422611037,0.4444444444444444,0.007579859231185706,0.5048143053645117,1.0,0.693109379742993,148,11.0
36.0,citi,5,0.0,0.0,0.0,1.0,0.7725373790677221,0.8561238223418574,0.4444444444444444,0.0,0.4662998624484182,1.0,0.7156733785287869,172,12.0
37.0,citi,5,0.0,0.0,0.0,1.0,0.792985927880387,0.85814266487214,0.4444444444444444,0.0,0.53232462173315,1.0,0.7341900232722858,234,13.0
38.0,citi,5,0.0,0.0,0.0,1.0,0.8014511873350925,0.85814266487214,0.4444444444444444,0.0,0.4828060522696011,1.0,0.7418799959526459,225,14.0
39.0,citi,5,0.0,0.0,0.0,1.0,0.8014511873350925,0.8588156123822343,0.4444444444444444,0.0,0.4442916093535076,1.0,0.7419811798037034,225,15.0
40.0,citi,5,0.0,0.0,0.0,1.0,0.7946350043975374,0.8577388963660835,0.3333333333333333,0.0,0.312242090784044,1.0,0.7357077810381463,216,16.0
41.0,citi,5,0.0,0.0,0.0,1.0,0.7903474054529465,0.85814266487214,0.2222222222222222,0.0,0.4016506189821183,1.0,0.7319639785490236,204,17.0
42.0,citi,5,0.0,0.0,0.0,1.0,0.7893579595426561,0.8584118438761777,0.1111111111111111,0.0,0.3988995873452545,0.85,0.7309521400384498,219,18.0
43.0,citi,5,0.0,0.0,0.0,1.0,0.7785839929639402,0.8549125168236879,0.0,0.0,0.3012379642365887,0.83,0.7210361226348275,176,19.0
44.0,citi,6,0.0,0.0,0.0,1.0,0.7611037818821461,0.847913862718708,0.0,0.0,0.2379642365887208,0.67,0.7046443387635334,135,20.0
45.0,citi,6,0.0,0.0,0.0,1.0,0.7467018469656993,0.8413189771197847,0.0,0.0,0.1733149931224209,0.49,0.691186886572903,82,21.0
46.0,citi,6,1.0,0.0,0.0,0.0,0.7375769569041337,0.8363391655450875,0.0,0.0,0.0921595598349381,0.3,0.6824850753819691,75,22.0
47.0,citi,6,1.0,0.0,0.0,0.0,0.7309806508355321,0.8345895020188425,0.0,0.0,0.05364511691884457,0.23,0.6765152281695841,54,23.0
48.0,citi,6,0.0,0.0,0.0,1.0,0.726033421284081,0.8329744279946164,0.0,0.0,0.008253094910591473,0.62,0.6719619548720024,54,0.0
49.0,citi,6,0.0,0.0,0.0,1.0,0.7269129287598945,0.8355316285329745,0.0,0.0,0.012379642365887207,0.68,0.6729737933825762,30,1.0
50.0,citi,6,0.0,0.0,0.0,1.0,0.7273526824978013,0.8411843876177658,0.0,0.0,0.001375515818431912,0.93,0.6740868157442073,22,2.0
51.0,citi,6,0.0,0.0,0.0,1.0,0.7246042216358839,0.8469717362045761,0.0,0.009204114780725501,0.001375515818431912,0.84,0.6722655064251746,7,3.0
52.0,citi,6,0.0,0.0,0.0,1.0,0.723504837291117,0.8476446837146703,0.0,0.005955603681645913,0.00687757909215956,0.91,0.6713548517656581,6,4.0
53.0,citi,6,0.0,0.0,0.0,1.0,0.7225153913808268,0.8469717362045761,0.0,0.01028695181375203,0.012379642365887207,0.98,0.6703430132550845,1,5.0
54.0,citi,6,0.0,0.0,0.0,1.0,0.7221855760773966,0.8491251682368776,0.0,0.01949106659447753,0.009628610729023386,0.82,0.6703430132550845,3,6.0
55.0,citi,6,0.0,0.0,0.0,1.0,0.7241644678979773,0.8542395693135936,0.0,0.05630752571737953,0.04126547455295736,0.9,0.672670241829404,7,7.0
56.0,citi,6,0.0,0.0,0.0,1.0,0.726033421284081,0.8601615074024226,0.1111111111111111,0.12885760693015702,0.1031636863823934,0.89,0.6749974704037235,12,8.0
57.0,citi,6,0.0,0.0,0.0,1.0,0.7332893579595428,0.8663526244952895,0.2222222222222222,0.055224688684353006,0.13755158184319122,0.91,0.6820803399777395,42,9.0
58.0,citi,6,0.0,0.0,0.0,1.0,0.7487906772207564,0.868371467025572,0.4444444444444444,0.003789929615592853,0.15818431911966988,0.82,0.695841343721542,90,10.0
59.0,citi,6,0.0,0.0,0.0,1.0,0.7701187335092349,0.8660834454912516,0.5555555555555556,0.0,0.1815680880330124,0.83,0.7145603561671557,140,11.0
60.0,citi,6,0.0,0.0,0.0,1.0,0.7879287598944592,0.8648721399730822,0.5555555555555556,0.0,0.16781292984869325,0.82,0.7303450369321057,199,12.0
61.0,citi,6,0.0,0.0,0.0,1.0,0.8007915567282323,0.8636608344549126,0.5555555555555556,0.0,0.14442916093535077,0.88,0.7417788121015886,200,13.0
62.0,citi,6,0.0,0.0,0.0,1.0,0.8169525065963061,0.8659488559892329,0.5555555555555556,0.0,0.21320495185694638,0.85,0.7566528382070222,224,14.0
63.0,citi,6,0.0,0.0,0.0,1.0,0.8247581354441513,0.863257065948856,0.4444444444444444,0.0,0.13892709766162312,0.92,0.7635333400789234,218,15.0
64.0,citi,6,0.0,0.0,0.0,1.0,0.8246481970096747,0.8639300134589502,0.3333333333333333,0.0,0.038514442916093544,1.0,0.7635333400789234,210,16.0
65.0,citi,6,0.0,0.0,0.0,1.0,0.8211301671064204,0.8664872139973082,0.2222222222222222,0.0,0.07152682255845944,1.0,0.7604978245472023,234,17.0
66.0,citi,6,0.0,0.0,0.0,1.0,0.8239885664028145,0.8674293405114402,0.1111111111111111,0.0,0.07427785419532326,0.9,0.7632297885257514,193,18.0
67.0,citi,6,0.0,0.0,0.0,1.0,0.8161829375549692,0.8690444145356662,0.0,0.0,0.059147180192572216,0.65,0.7562481028027926,170,19.0
68.0,citi,0,0.0,0.0,0.0,1.0,0.7960642040457344,0.8705248990578736,0.0,0.0,0.12104539202200826,0.57,0.7382373773145805,127,20.0
69.0,citi,0,0.0,0.0,0.0,1.0,0.7768249780123131,0.874293405114401,0.0,0.0,0.15130674002751035,0.7,0.7213396741879997,100,21.0
70.0,citi,0,0.0,0.0,0.0,1.0,0.7717678100263853,0.877792732166891,0.0,0.0,0.10178817056396149,0.75,0.7171911362946474,82,22.0
71.0,citi,0,0.0,0.0,0.0,1.0,0.7652814423922604,0.8764468371467027,0.0,0.0,0.14167812929848694,0.74,0.7113224729333198,26,23.0
72.0,citi,0,0.0,0.0,0.0,1.0,0.7646218117854002,0.8791386271870794,0.0,0.0,0.10041265474552957,0.93,0.7110189213801477,21,0.0
73.0,citi,0,0.0,0.0,0.0,1.0,0.7668205804749341,0.8822341857335128,0.0,0.0,0.09766162310866575,1.0,0.7133461499544673,11,1.0
74.0,citi,0,0.0,0.0,0.0,1.0,0.7637423043095867,0.8806191117092868,0.0,0.0,0.07152682255845944,0.99,0.7104118182738034,3,2.0
,,,,,,,,,,,,,,0,3.0
,,,,,,,,,,,,,,0,4.0
77.0,citi,0,0.0,0.0,0.0,1.0,0.7608839050131926,0.8842530282637955,0.0,0.0,0.07152682255845944,1.0,0.7082869574015987,16,5.0
78.0,citi,0,0.0,0.0,0.0,1.0,0.7592348284960423,0.8851951547779273,0.0,0.0,0.04951856946354883,0.83,0.7068703834867955,48,6.0
